Well_num,Cond_num,KPO4,NaCl,FeSO4,Thiamine/Hcl,NH4_2SO4,MgSO4,Glucose,Leucine,Histidine
A1,1,1,0,0,0,10,1,20,0,0
A2,1,1,0,0,0,10,1,20,0,0
A3,1,1,0,0,0,10,1,20,0,0
A4,1,1,0,0,0,10,1,20,0,0
A5,1,1,0,0,0,10,1,20,0,0
A6,1,1,0,0,0,10,1,20,0,0
A7,2,10,0,0,0,10,1,20,0,0
A8,2,10,0,0,0,10,1,20,0,0
A9,2,10,0,0,0,10,1,20,0,0
A10,2,10,0,0,0,10,1,20,0,0
A11,2,10,0,0,0,10,1,20,0,0
A12,2,10,0,0,0,10,1,20,0,0
A13,3,200,0,0,0,10,1,20,0,0
A14,3,200,0,0,0,10,1,20,0,0
A15,3,200,0,0,0,10,1,20,0,0
A16,3,200,0,0,0,10,1,20,0,0
A17,3,200,0,0,0,10,1,20,0,0
A18,3,200,0,0,0,10,1,20,0,0
A19,4,1000,0,0,0,10,1,20,0,0
A20,4,1000,0,0,0,10,1,20,0,0
A21,4,1000,0,0,0,10,1,20,0,0
A22,4,1000,0,0,0,10,1,20,0,0
A23,4,1000,0,0,0,10,1,20,0,0
A24,4,1000,0,0,0,10,1,20,0,0
A25,5,100,0,0,0,0.1,1,20,0,0
A26,5,100,0,0,0,0.1,1,20,0,0
A27,5,100,0,0,0,0.1,1,20,0,0
A28,5,100,0,0,0,0.1,1,20,0,0
A29,5,100,0,0,0,0.1,1,20,0,0
A30,5,100,0,0,0,0.1,1,20,0,0
A31,6,100,0,0,0,1,1,20,0,0
A32,6,100,0,0,0,1,1,20,0,0
A33,6,100,0,0,0,1,1,20,0,0
A34,6,100,0,0,0,1,1,20,0,0
A35,6,100,0,0,0,1,1,20,0,0
A36,6,100,0,0,0,1,1,20,0,0
A37,7,100,0,0,0,5,1,20,0,0
A38,7,100,0,0,0,5,1,20,0,0
A39,7,100,0,0,0,5,1,20,0,0
A40,7,100,0,0,0,5,1,20,0,0
A41,7,100,0,0,0,5,1,20,0,0
A42,7,100,0,0,0,5,1,20,0,0
A43,8,100,0,0,0,100,1,20,0,0
A44,8,100,0,0,0,100,1,20,0,0
A45,8,100,0,0,0,100,1,20,0,0
A46,8,100,0,0,0,100,1,20,0,0
A47,8,100,0,0,0,100,1,20,0,0
A48,8,100,0,0,0,100,1,20,0,0
A49,9,100,0,0,0,10,0.1,20,0,0
A50,9,100,0,0,0,10,0.1,20,0,0
A51,9,100,0,0,0,10,0.1,20,0,0
A52,9,100,0,0,0,10,0.1,20,0,0
A53,9,100,0,0,0,10,0.1,20,0,0
A54,9,100,0,0,0,10,0.1,20,0,0
A55,10,100,0,0,0,10,0.5,20,0,0
A56,10,100,0,0,0,10,0.5,20,0,0
A57,10,100,0,0,0,10,0.5,20,0,0
A58,10,100,0,0,0,10,0.5,20,0,0
A59,10,100,0,0,0,10,0.5,20,0,0
A60,10,100,0,0,0,10,0.5,20,0,0
A61,11,100,0,0,0,10,10,20,0,0
A62,11,100,0,0,0,10,10,20,0,0
A63,11,100,0,0,0,10,10,20,0,0
A64,11,100,0,0,0,10,10,20,0,0
A65,11,100,0,0,0,10,10,20,0,0
A66,11,100,0,0,0,10,10,20,0,0
A67,12,100,0,0,0,10,100,20,0,0
A68,12,100,0,0,0,10,100,20,0,0
A69,12,100,0,0,0,10,100,20,0,0
A70,12,100,0,0,0,10,100,20,0,0
A71,12,100,0,0,0,10,100,20,0,0
A72,12,100,0,0,0,10,100,20,0,0
A73,13,100,0,0,0,10,1,0.2,0,0
A74,13,100,0,0,0,10,1,0.2,0,0
A75,13,100,0,0,0,10,1,0.2,0,0
A76,13,100,0,0,0,10,1,0.2,0,0
A77,13,100,0,0,0,10,1,0.2,0,0
A78,13,100,0,0,0,10,1,0.2,0,0
A79,14,100,0,0,0,10,1,2,0,0
A80,14,100,0,0,0,10,1,2,0,0
A81,14,100,0,0,0,10,1,2,0,0
A82,14,100,0,0,0,10,1,2,0,0
A83,14,100,0,0,0,10,1,2,0,0
A84,14,100,0,0,0,10,1,2,0,0
A85,15,100,0,0,0,10,1,20,0,0
A86,15,100,0,0,0,10,1,20,0,0
A87,15,100,0,0,0,10,1,20,0,0
A88,15,100,0,0,0,10,1,20,0,0
A89,15,100,0,0,0,10,1,20,0,0
A90,15,100,0,0,0,10,1,20,0,0
A91,16,100,0,0,0,10,1,200,0,0
A92,16,100,0,0,0,10,1,200,0,0
A93,16,100,0,0,0,10,1,200,0,0
A94,16,100,0,0,0,10,1,200,0,0
A95,16,100,0,0,0,10,1,200,0,0
A96,16,100,0,0,0,10,1,200,0,0
A97,17,100,0,0,0,10,1,0.02,0,0
