time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
130.0000,0.0856,0.0924,0.0893,0.0869,0.0937,0.0906,0.0905,0.0973,0.0942,0.1012,0.1080,0.1049,0.1054,0.1135,0.1314,0.1013,0.1142,0.1141,0.1013,0.1142,0.1041,0.1139,0.1243,0.1019,0.1052,0.1020,0.1165
192.0000,0.0815,0.0851,0.0851,0.0828,0.0864,0.0864,0.0864,0.0900,0.0900,0.0971,0.1007,0.1007,0.1151,0.1134,0.1109,0.1134,0.1122,0.1142,0.1134,0.1122,0.1142,0.1232,0.1220,0.1239,0.1206,0.1207,0.1234
195.0000,0.0833,0.0847,0.0865,0.0846,0.0860,0.0878,0.0882,0.0896,0.0914,0.0989,0.1003,0.1021,0.1129,0.1108,0.1111,0.1142,0.1139,0.1153,0.1142,0.1139,0.1153,0.1240,0.1237,0.1251,0.1247,0.1253,0.1289
198.0000,0.0821,0.0835,0.0861,0.0834,0.0848,0.0874,0.0870,0.0884,0.0910,0.0977,0.0991,0.1017,0.1112,0.1101,0.1106,0.1155,0.1152,0.1176,0.1155,0.1152,0.1176,0.1253,0.1250,0.1274,0.1286,0.1293,0.1309
201.0000,0.0837,0.0845,0.0860,0.0850,0.0858,0.0873,0.0886,0.0894,0.0909,0.0993,0.1001,0.1016,0.1096,0.1098,0.1081,0.1180,0.1187,0.1212,0.1180,0.1187,0.1212,0.1277,0.1285,0.1310,0.1327,0.1336,0.1356
204.0000,0.0810,0.0829,0.0862,0.0823,0.0842,0.0875,0.0859,0.0878,0.0911,0.0966,0.0985,0.1018,0.1111,0.1091,0.1070,0.1206,0.1207,0.1234,0.1206,0.1207,0.1234,0.1304,0.1304,0.1332,0.1440,0.1390,0.1420
207.0000,0.0851,0.0850,0.0866,0.0864,0.0863,0.0879,0.0900,0.0899,0.0915,0.1007,0.1006,0.1022,0.1096,0.1087,0.1092,0.1247,0.1253,0.1289,0.1247,0.1253,0.1289,0.1345,0.1351,0.1386,0.1490,0.1450,0.1500
210.0000,0.0821,0.0826,0.0866,0.0834,0.0839,0.0879,0.0870,0.0875,0.0915,0.0977,0.0982,0.1022,0.1132,0.1134,0.1130,0.1286,0.1293,0.1309,0.1286,0.1293,0.1309,0.1384,0.1391,0.1407,0.1527,0.1536,0.1556
213.0000,0.0811,0.0817,0.0856,0.0824,0.0830,0.0869,0.0860,0.0866,0.0905,0.0967,0.0973,0.1012,0.1112,0.1101,0.1106,0.1227,0.1236,0.1256,0.1327,0.1336,0.1356,0.1425,0.1434,0.1454,0.1637,0.1636,0.1648
216.0000,0.0808,0.0842,0.0863,0.0822,0.0855,0.0876,0.0858,0.0891,0.0912,0.0965,0.0998,0.1019,0.1096,0.1098,0.1081,0.1337,0.1336,0.1348,0.1437,0.1436,0.1448,0.1535,0.1534,0.1546,0.1709,0.1677,0.1769
