Well,Strain,Bio,Tech,Media,Condition,Plate Age,mM PQ,plate
101,blank,,,CM,,21,0,201506_PQ_5
102,ura3,A,1,CM,,21,0,201506_PQ_5
103,ura3,A,2,CM,,21,0,201506_PQ_5
104,ura3,A,3,CM,,21,0,201506_PQ_5
105,ura3,B,1,CM,,21,0,201506_PQ_5
106,ura3,B,2,CM,,21,0,201506_PQ_5
107,ura3,B,3,CM,,21,0,201506_PQ_5
108,ura3,C,1,CM,,21,0,201506_PQ_5
109,ura3,C,2,CM,,21,0,201506_PQ_5
110,blank,,,CM,,21,0,201506_PQ_5
111,ura3,C,3,CM,,21,0,201506_PQ_5
112,ura3,D,1,CM,,21,0,201506_PQ_5
113,ura3,D,2,CM,,21,0,201506_PQ_5
114,ura3,D,3,CM,,21,0,201506_PQ_5
115,idr1,A,1,CM,,21,0,201506_PQ_5
116,idr1,A,2,CM,,21,0,201506_PQ_5
117,idr1,A,3,CM,,21,0,201506_PQ_5
118,idr1,B,1,CM,,21,0,201506_PQ_5
119,idr1,B,2,CM,,21,0,201506_PQ_5
120,idr1,B,3,CM,,21,0,201506_PQ_5
121,idr1,C,1,CM,,21,0,201506_PQ_5
122,idr1,C,2,CM,,21,0,201506_PQ_5
123,idr1,C,3,CM,,21,0,201506_PQ_5
124,idr1,D,1,CM,,21,0,201506_PQ_5
125,idr1,D,2,CM,,21,0,201506_PQ_5
126,idr1,D,3,CM,,21,0,201506_PQ_5
127,idr2,A,1,CM,,21,0,201506_PQ_5
128,idr2,A,2,CM,,21,0,201506_PQ_5
129,idr2,A,3,CM,,21,0,201506_PQ_5
130,idr2,B,1,CM,,21,0,201506_PQ_5
131,idr2,B,2,CM,,21,0,201506_PQ_5
132,idr2,B,3,CM,,21,0,201506_PQ_5
133,idr2,C,1,CM,,21,0,201506_PQ_5
134,idr2,C,2,CM,,21,0,201506_PQ_5
135,idr2,C,3,CM,,21,0,201506_PQ_5
136,idr2,D,1,CM,,21,0,201506_PQ_5
137,idr2,D,2,CM,,21,0,201506_PQ_5
138,idr2,D,3,CM,,21,0,201506_PQ_5
139,sirR,A,1,CM,,21,0,201506_PQ_5
140,sirR,A,2,CM,,21,0,201506_PQ_5
141,sirR,A,3,CM,,21,0,201506_PQ_5
142,sirR,B,1,CM,,21,0,201506_PQ_5
143,sirR,B,2,CM,,21,0,201506_PQ_5
144,sirR,B,3,CM,,21,0,201506_PQ_5
145,sirR,C,1,CM,,21,0,201506_PQ_5
146,sirR,C,2,CM,,21,0,201506_PQ_5
147,sirR,C,3,CM,,21,0,201506_PQ_5
148,sirR,D,1,CM,,21,0,201506_PQ_5
149,sirR,D,2,CM,,21,0,201506_PQ_5
150,sirR,D,3,CM,,21,0,201506_PQ_5
151,troR,A,1,CM,,21,0,201506_PQ_5
152,troR,A,2,CM,,21,0,201506_PQ_5
153,troR,A,3,CM,,21,0,201506_PQ_5
154,troR,B,1,CM,,21,0,201506_PQ_5
155,troR,B,2,CM,,21,0,201506_PQ_5
156,troR,B,3,CM,,21,0,201506_PQ_5
157,troR,C,1,CM,,21,0,201506_PQ_5
158,troR,C,2,CM,,21,0,201506_PQ_5
159,troR,C,3,CM,,21,0,201506_PQ_5
160,troR,D,1,CM,,21,0,201506_PQ_5
161,troR,D,2,CM,,21,0,201506_PQ_5
162,troR,D,3,CM,,21,0,201506_PQ_5
163,ura3,A,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
164,ura3,A,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
165,ura3,A,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
166,ura3,B,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
167,ura3,B,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
168,ura3,B,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
169,ura3,C,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
170,ura3,C,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
171,ura3,C,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
172,ura3,D,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
173,ura3,D,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
174,ura3,D,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
175,idr1,A,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
176,idr1,A,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
177,idr1,A,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
178,idr1,B,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
179,idr1,B,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
180,idr1,B,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
181,idr1,C,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
182,idr1,C,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
183,idr1,C,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
184,idr1,D,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
185,idr1,D,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
186,idr1,D,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
187,idr2,A,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
188,idr2,A,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
189,idr2,A,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
190,idr2,B,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
191,blank,,,CM,,21,0,201506_PQ_5
192,idr2,B,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
193,idr2,B,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
194,idr2,C,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
195,idr2,C,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
196,idr2,C,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
197,idr2,D,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
198,idr2,D,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
199,idr2,D,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
200,blank,,,CM,,21,0,201506_PQ_5
201,blank,,,CM,,21,0,201506_PQ_5
202,sirR,A,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
203,sirR,A,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
204,sirR,A,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
205,sirR,B,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
206,sirR,B,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
207,sirR,B,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
