,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
lengthscale[1],0.7323635327128897,0.006361033488196234,0.16074852962832428,0.5264689192225132,0.6421623715494678,0.7091388187762918,0.7879522923925903,1.0721905656504236,638.61432229083,1.002053244939155
lengthscale[2],1.6634334932925539,0.010954947783281727,0.5016114267515566,0.8592787266269095,1.3001633731620181,1.58446945937601,1.9626202899170724,2.8219522652374094,2096.593421268255,1.0009361149731004
lengthscale[3],0.9481599686346035,0.0055374581718065355,0.20727625902854024,0.5984345560799873,0.8070662928049974,0.9283332512615435,1.0661603142865141,1.4021337429375995,1401.1292714439035,1.0008043116029175
lengthscale[4],2.196106505141668,0.010371239748030987,0.5430139085810868,1.2006488033636258,1.7770846568637184,2.191576425445902,2.636066362142037,3.12166802702367,2741.3252076238027,1.0000625193324186
alpha[1],4.501556189248441,0.035955012968882025,1.915523094023486,1.752532816732139,3.118324124079547,4.168954628827326,5.542641817214676,9.067227232095929,2838.2842362458696,0.99990059642781
alpha[2],2.941423520681751,0.033104829204871254,1.5844822352836747,0.7860422593467136,1.753188044028116,2.6490919496764906,3.787041433448754,6.767264884973692,2290.8256941208083,1.0000908589095072
alpha[3],2.7828401671894323,0.03859624208349141,1.4021619029412828,0.8455025176623916,1.747016917397119,2.525055634424805,3.5047316523539243,6.254127947999988,1319.7944042122788,1.0028446041454686
alpha[4],1.2011613667057404,0.031179784749587016,0.8090978232712192,0.2340156390223057,0.6213772310734225,1.0019127277964361,1.5603511473020881,3.2862744959852987,673.3732194268935,1.0036058149261071
sigma,0.6583601384323582,6.688332712369542e-05,0.005943068379471966,0.6468667088363318,0.654315656739485,0.6583668708735098,0.6623543227411732,0.6703561123042119,7895.610506660347,0.9991333713425491
"f_eta[1,1]",-0.34639911350823643,0.010265750894278771,0.4143412386356417,-1.2895679795225758,-0.5590069024734468,-0.3036302036103464,-0.10598750081334729,0.4376471621507507,1629.0517352776842,1.002363054048865
"f_eta[2,1]",-0.027528324674768897,0.012586943648080998,0.5330572432047695,-1.0662751800088541,-0.3809056296819768,-0.032909506623275124,0.31247579300442274,1.0686023226333115,1793.5237092940326,1.0007945903676656
"f_eta[3,1]",-0.04701693206720533,0.012563663086374301,0.5327634263532075,-1.087070880933665,-0.39639861200081117,-0.04935444846744387,0.290755872065587,1.0454148850018872,1798.1927544881241,1.0008829496120255
"f_eta[4,1]",-0.04412688251448229,0.012568615912731163,0.5323092171357551,-1.0914365846153626,-0.39299744938692327,-0.04580585969849663,0.29291389462373,1.052417264859524,1793.7134429489702,1.0008386140147387
"f_eta[5,1]",-0.03485995404327369,0.009204131784495317,0.32446644573036904,-0.7215022128707756,-0.1721923461769654,-0.03306975409306638,0.099451966558358,0.6710475763938037,1242.7218273638277,1.0033726865849182
"f_eta[6,1]",-0.008103097548020135,0.014436532278385183,0.5577265136930806,-1.1228340786745656,-0.38520880228554505,-0.0035882237453829474,0.36693704240459246,1.0746526773591365,1492.5084865948802,1.0032462507819087
"f_eta[7,1]",-0.006591030788480948,0.01443217126365513,0.5576986857318391,-1.1178433465451292,-0.3767353739039671,-0.0024998024185268197,0.36800755418202374,1.059831985539195,1493.26159008999,1.0034206904570886
"f_eta[8,1]",0.009757281421507976,0.01446554417270284,0.5568269127739555,-1.093436705865534,-0.36891457948437617,0.02084891676904551,0.3837363527124592,1.0923720963373293,1481.736174039845,1.0035566190056644
"f_eta[1,2]",0.5045258677505907,0.008825668349518654,0.365825967320071,-0.14190828216318513,0.27725942076665755,0.46782001365112147,0.6940743026386713,1.369151697953027,1718.121419851644,1.0003900561977948
"f_eta[2,2]",0.02805071944696397,0.012705811044634785,0.5724174025189621,-1.0841080125070555,-0.358429255618788,0.03557105646868869,0.40928092366195457,1.1676360624238984,2029.6486883205696,0.9996854280369946
"f_eta[3,2]",0.49322959959138474,0.013106525549338647,0.5895770734577161,-0.641260771696577,0.09020821778611274,0.49470632428160743,0.8887386427237749,1.646775536224437,2023.51308534967,0.999500438521408
"f_eta[4,2]",-0.2490587230550365,0.013174250289807985,0.5831351248893347,-1.3862501493176915,-0.6363132485916162,-0.2432253308426239,0.14728785317029963,0.878071692474738,1959.235238398856,0.9997016132697545
"f_eta[5,2]",0.0915031742742543,0.007645720896534394,0.2822283111388919,-0.4677970486990851,-0.03572672924641634,0.07586837098966406,0.2140532337354297,0.7056975101285443,1362.5871010551855,1.0004101433640484
"f_eta[6,2]",0.09417419071992165,0.013849956011240623,0.611629993651051,-1.0919889032747754,-0.32977873642914657,0.10216905100893685,0.512420711437817,1.2977911422442352,1950.207225091687,1.0021473391902438
"f_eta[7,2]",0.09581249517939353,0.014109291203985378,0.615695729738906,-1.0972025304036954,-0.3209412135396066,0.1010294621722049,0.5149885446543419,1.3217681926167826,1904.2409001371398,1.001379609796162
"f_eta[8,2]",-0.08393653542500376,0.014952503908998941,0.6306724865507813,-1.3874842866828785,-0.5010671911650928,-0.06844463092473917,0.36270353359812757,1.0808319521181182,1779.0162738325612,1.000460936800363
"f_eta[1,3]",0.4018637979959991,0.007880181350000192,0.3483595872745927,-0.2802719141245638,0.19744891000698062,0.38625777104938197,0.5891223295882494,1.1162072243211663,1954.263452877793,1.0009740583915894
"f_eta[2,3]",0.4511465361126593,0.011145498100617875,0.6203278007077192,-0.7537650224668833,0.043238382939098145,0.45671489489308703,0.8776375571683148,1.668964967996043,3097.7297426989476,1.0000211160923222
"f_eta[3,3]",-1.064302136346972,0.014312556802991656,0.6898154404035061,-2.476861051401635,-1.5201517197643861,-1.0538150329620737,-0.5987914474856798,0.2822960228195016,2322.9046087856327,1.0021588182908936
"f_eta[4,3]",0.8577897122178255,0.011860516762779855,0.6524530512530741,-0.4113379417153792,0.40896752761539157,0.8539078777378835,1.2896060910250005,2.1502345380983328,3026.1559810494196,1.0003538854542917
"f_eta[5,3]",0.008877904857870132,0.008362850308026623,0.429797521768064,-0.857044137333052,-0.24005288180656909,0.0012924434951576075,0.2520901340488646,0.8943178646609142,2641.3087356652177,1.0004639431367348
"f_eta[6,3]",0.06299623701823281,0.010152396658616126,0.8229107726013016,-1.552658208253908,-0.45542917443237574,0.064687833916068,0.6006307941097775,1.7108278346271684,6570.044941467371,0.9996087768640488
"f_eta[7,3]",0.34887807287711087,0.011384553667973817,0.8155133457609199,-1.2746241221322316,-0.1964634370047046,0.3388464536604427,0.8870095024597986,1.982087388879512,5131.332154249252,1.0003852328504121
"f_eta[8,3]",-0.40616489354462704,0.011342283412507046,0.8258786234094729,-2.0409081723887734,-0.9555588513393191,-0.3959675830585911,0.15693681846880037,1.2007976683432073,5301.89912634806,0.9994568597413195
"f_eta[1,4]",-1.0914629333570587,0.014906430599108936,0.5976318291099819,-2.251766923806141,-1.463351903213515,-1.0956887409272307,-0.7169171560740446,0.04526338943257964,1607.3857501250175,1.0006635491300602
"f_eta[2,4]",-0.41773154788504235,0.01162421283014039,0.7647651653821406,-1.9271892083672633,-0.9411988890244056,-0.4116257702003979,0.09304023699607328,1.087614451468453,4328.416957411957,0.9993764675288394
"f_eta[3,4]",0.5636111387957611,0.02069632065658236,0.9223228883373855,-1.2742888329985171,-0.03981389366372366,0.5690355869215838,1.1856267809311167,2.360154515617198,1986.0020090525902,1.0009745402229322
"f_eta[4,4]",-0.45874622846869534,0.011746740669394682,0.7996775601095525,-2.0514666288007777,-0.9782005200654817,-0.4515846627126867,0.07701827152833694,1.101661039845598,4634.416446546127,0.9993573649771162
"f_eta[5,4]",0.03767186528040955,0.011805168436548118,0.7793098265058762,-1.4781100817312942,-0.47439856581326056,0.03330995638593646,0.5444612489291667,1.5934421304030342,4357.886638953729,0.9992091214810227
