,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
lengthscale[1],1.1908184923923815,0.008301523732811516,0.3926177382893321,0.6161694598473898,0.9127734997965132,1.1202691608783875,1.4029293434223291,2.1495873166586548,2236.7848173900584,1.0001505566132705
lengthscale[2],0.7718598487128101,0.3235569100909072,0.6487801904184484,0.2840267198394191,0.3260796033130476,0.3608793229263077,1.238178519540448,2.370658115366173,4.020627168864848,1.6871432301834073
lengthscale[3],0.18586395587649854,0.0003327333012068405,0.011270379774289645,0.16487688209953053,0.17794477034897888,0.18545371739117394,0.19312021645596947,0.20906195858166182,1147.3199977436527,1.006883231940047
lengthscale[4],1.5164859548158116,0.5532081368705526,1.0820268774157784,0.18624493557329364,0.21657152988718345,1.7884533570843617,2.4756687309339593,3.094958077589081,3.8255948914323685,1.8456272081155176
alpha[1],4.069544015931306,0.030958422484383342,1.7486363819627415,1.5087530792422732,2.8025380963200153,3.753017951210313,5.023183024408317,8.31453500785207,3190.3723642883606,0.9997021742048825
alpha[2],3.348474174369737,0.047281926588481515,1.7586608148103064,0.9146765567963422,2.058992485930239,3.0297221879022302,4.297477395697646,7.713428295820746,1383.4830587475235,1.005577150435697
alpha[3],0.4192680424566821,0.005427579602682284,0.15849564316050324,0.2077939388885278,0.3094884369758597,0.38434244270855167,0.49434840185674195,0.8241291145755512,852.7510320572335,1.007936004639906
alpha[4],0.7510403769454331,0.237002918078908,0.7352561596182045,0.08922458322084692,0.1889199464627751,0.5157844611409975,1.048803031144912,2.6226499321112247,9.624317828564127,1.1934083029928468
marginal_alpha,0.5842703729439817,0.00012022781391105475,0.009555644519700241,0.5662774250241825,0.5774847528769349,0.584199491354694,0.5908665807013576,0.6026584180260709,6316.988254741877,1.0018878344856246
marginal_lengthscale,0.38585007127440785,0.0014254213302532033,0.0063679407148657515,0.37416805867708114,0.381312615071308,0.3855743491800025,0.39008458538032914,0.3989165929947992,19.95774715546898,1.089378500174606
sigma,0.04637923647757454,0.0005756998986898708,0.0013468494044003385,0.04378687029749742,0.04534188658163961,0.046493074748317084,0.04738118396453546,0.048729441196532025,5.4732561164801465,1.4160226076197453
"f_eta[1,1]",-0.35008346861947076,0.0039837628060981735,0.1746363564995196,-0.7807814458672544,-0.43141273830487137,-0.31426737389393533,-0.22852372733879145,-0.12013720125241859,1921.6857902574166,1.0009940217902222
"f_eta[2,1]",-0.42814694869077013,0.010468750884726276,0.5246959455738079,-1.4250395574693062,-0.7854189902508081,-0.43001625799863663,-0.08418449923290078,0.6437776386115321,2512.034998433629,1.0014724245816693
"f_eta[3,1]",-0.6348606674717292,0.010421613490571599,0.5282171413016387,-1.6407662431581989,-0.9932429090136472,-0.6302807714613907,-0.2837476729541387,0.410882348918039,2568.9464790043903,1.001142328492695
"f_eta[4,1]",-0.48546338756636837,0.010452068707417448,0.5265276870576152,-1.506854968670881,-0.8468893448037121,-0.48066928486385085,-0.14239235796453673,0.5719157016236132,2537.686179496185,1.0013445139482167
"f_eta[5,1]",-0.007628425490533463,0.007167437639066562,0.19458014982431723,-0.3681540307546201,-0.07891995698272988,-0.0248394990078636,0.03245549202395926,0.4977951370065708,737.0029409556598,1.012680687154256
"f_eta[6,1]",0.024389955433185718,0.024983224825337907,0.5582451594562544,-1.0982585573263361,-0.3322702028624348,0.019383597877879147,0.4035229912922642,1.1186339441357063,499.2900823516749,1.0174277829184504
"f_eta[7,1]",0.004814160089016134,0.04940611743215137,0.5674832928424827,-1.1614098675092532,-0.36541285991554456,0.0012547822227033678,0.3949930081352939,1.0882507855015693,131.93034786379323,1.0333862660763924
"f_eta[8,1]",0.03737763780966243,0.021021305519551906,0.5625720899967767,-1.1292026213858568,-0.3238898237293771,0.039296870532734625,0.4108598943506721,1.12099957844382,716.2044191279545,1.0154282659375409
"f_eta[1,2]",0.8294732996083389,0.00988176508029246,0.42522895697119817,0.17552609360463123,0.5290837943099322,0.7635487538370493,1.078914947683205,1.8259375091485752,1851.7255202091574,1.0002374763027424
"f_eta[2,2]",-0.21972858276483198,0.010156861226545905,0.38290147352820925,-1.0088877190348229,-0.46596479775454824,-0.20599193339681635,0.03577386338013756,0.49520220875798227,1421.1994733435909,1.000953447390722
"f_eta[3,2]",0.5600711683595939,0.00940442306161028,0.3687196202151662,-0.1281391222093315,0.3309581561010562,0.5480847903045147,0.7844402851995523,1.354080816994468,1537.1922278779782,1.0021040353444919
"f_eta[4,2]",-0.6942641196863754,0.013042572273980917,0.4537293659034821,-1.6616567871790169,-0.9797191872456882,-0.6689302381149447,-0.371536823854951,0.1276285826593054,1210.2282113934896,1.0014709230322414
"f_eta[5,2]",0.04489619396260134,0.04143209421240193,0.1514530633628456,-0.1468023386685355,-0.030646484393070023,0.001085607676364135,0.08335515987849841,0.4481078483621232,13.362334919683656,1.143807214091728
"f_eta[6,2]",-0.22731387904716208,0.1321673184454952,0.5947168742562274,-1.3200811294966108,-0.6371978131516729,-0.27036457241046924,0.14813086169277556,0.9982985162769904,20.24754463582569,1.0954848531393029
"f_eta[7,2]",0.02769225311876639,0.19381583926870266,0.6625068245824004,-1.143957529503929,-0.44640819015142263,-0.040511604372251264,0.46892097707754726,1.4286630438848273,11.684286044445514,1.1602640102128088
"f_eta[8,2]",-0.3485766488404007,0.011047195634428481,0.560478570324266,-1.4809139166349208,-0.7025410750701779,-0.35209184168687224,0.0057194957330625774,0.747342880109487,2574.0319566527187,1.0028758599158438
"f_eta[1,3]",0.05019585453850632,0.012427320991983397,0.6059123610675564,-1.1719690110552092,-0.33404388704487253,0.054489182097413644,0.4446396887382259,1.2479667076988115,2377.193821508441,1.0023278857580107
"f_eta[2,3]",0.7240071287278862,0.008458299104309487,0.3276795668241587,0.08006298524289113,0.5029715945706463,0.7229447061354919,0.9448271502051557,1.3673860907480464,1500.8339467749108,1.005737551415967
"f_eta[3,3]",0.3907060955684157,0.007820480935342435,0.31163177384101143,-0.24891319074277102,0.18973494699834748,0.3898530310643047,0.60521604964039,0.9905701223310601,1587.8758375776904,1.0039253613698025
"f_eta[4,3]",0.6044672431932602,0.007918845074647149,0.31279924771426504,-0.022518125262955047,0.39467468547296786,0.6027136732977831,0.8184644895778979,1.2104747903543063,1560.2985572048096,1.0040469154055782
"f_eta[5,3]",0.022721739533418366,0.026948633905517848,0.3358510871066138,-0.8239021936809987,-0.07821478573069687,0.04695638192019297,0.16332800644813844,0.6929273009098592,155.31736270410323,1.0336353014419726
"f_eta[6,3]",0.33455618325271325,0.11340694780422933,0.7120469882372048,-1.260215099475255,-0.06460709207537593,0.41852950904867786,0.7959437088414748,1.6281292026631848,39.42193916129582,1.0509167472900793
"f_eta[7,3]",0.08717167684208427,0.2146138540984601,0.7654360363081102,-1.5803266471960393,-0.4213345969248742,0.1982055957324036,0.6172482975647433,1.4240930063900814,12.720444920486466,1.1191839524735578
"f_eta[8,3]",0.10367667750053884,0.049918853714678364,0.7082968527149152,-1.4955592056641565,-0.2802913547122141,0.17564711397136815,0.5328421090705234,1.4226299731129552,201.3267189695579,1.0183924132750284
